Year,Month,Region,Season,Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h),num_fires,avg_size_ha,dominant_risk
2003,9,Cariboo,Fall,10.8,61.2,40.3,6.7,120,0.30326470588235294,Extreme
2003,9,Kamloops,Fall,16.3,53.8,19.9,13.3,540,0.8170081300813007,Extreme
2003,9,Okanagan,Fall,15.4,52.1,21.5,9.4,277,7.613307692307693,Extreme
2003,9,Prince George,Fall,10.7,62.1,40.5,9.5,126,9.872558823529411,Extreme
2003,9,Vancouver Island,Fall,13.8,68.5,39.4,10.6,137,0.8043333333333333,Extreme
2003,10,Cariboo,Fall,3.6,68.8,40.6,7.1,120,0.30326470588235294,Extreme
2003,10,Kamloops,Fall,9.5,58.6,20.4,9.5,540,0.8170081300813007,Extreme
2003,10,Okanagan,Fall,10.8,57.5,32.8,4.4,277,7.613307692307693,Extreme
2003,10,Prince George,Fall,3.4,75.7,39.5,7.5,126,9.872558823529411,Extreme
2003,10,Vancouver Island,Fall,8.8,82.2,98.1,9.4,137,0.8043333333333333,Extreme
2003,11,Cariboo,Fall,-5.1,82.0,51.4,7.9,120,0.30326470588235294,Extreme
2003,11,Kamloops,Fall,0.2,78.9,38.3,8.9,540,0.8170081300813007,Extreme
2003,11,Okanagan,Fall,0.5,70.3,28.5,8.2,277,7.613307692307693,Extreme
2003,11,Prince George,Fall,-4.1,80.5,74.0,7.4,126,9.872558823529411,Extreme
2003,11,Vancouver Island,Fall,4.5,81.4,116.6,11.2,137,0.8043333333333333,Extreme
2003,12,Cariboo,Winter,-8.8,82.4,41.8,5.6,1,0.009,Low
2003,12,Kamloops,Winter,-5.4,74.9,36.4,10.5,3,0.13633333333333333,Moderate
2003,12,Prince George,Winter,-10.4,87.7,41.5,5.4,2,7.0045,High
2003,12,Vancouver Island,Winter,3.7,76.0,133.7,10.7,2,15.884719533143599,Extreme
2004,1,Cariboo,Winter,-12.2,81.6,44.0,5.6,2,0.009,Low
2004,1,Kamloops,Winter,-5.1,74.0,36.2,10.1,2,0.7044999999999999,Low
2004,1,Okanagan,Winter,-3.6,78.5,45.1,9.7,1,15.8,High
2004,1,Vancouver Island,Winter,5.5,79.2,184.3,8.3,4,2.5295,Low
2004,2,Cariboo,Winter,-8.4,79.7,35.8,7.0,2,0.009,Low
2004,2,Kamloops,Winter,-3.8,73.6,22.3,8.1,2,0.7044999999999999,Low
2004,2,Okanagan,Winter,-1.4,68.4,21.7,8.0,1,15.8,High
2004,2,Vancouver Island,Winter,7.5,77.1,114.8,11.1,4,2.5295,Low
2004,3,Cariboo,Spring,-2.0,67.3,25.8,6.9,76,1.4358157894736843,Moderate
2004,3,Kamloops,Spring,4.4,64.2,23.1,12.1,155,1.0917987012987014,Low
2004,3,Okanagan,Spring,4.1,62.1,25.1,9.1,45,7.396866666666666,Low
2004,3,Prince George,Spring,0.4,74.8,33.7,9.9,137,4.005404411764706,Moderate
2004,3,Vancouver Island,Spring,9.0,71.5,56.2,13.6,139,1.1433,Low
2004,4,Cariboo,Spring,6.4,53.9,22.3,9.3,76,1.4358157894736843,Moderate
2004,4,Kamloops,Spring,7.8,48.2,19.9,12.0,155,1.0917987012987014,Low
2004,4,Okanagan,Spring,10.6,50.6,17.9,8.6,45,7.396866666666666,Low
2004,4,Prince George,Spring,6.0,57.8,20.9,9.5,137,4.005404411764706,Moderate
2004,4,Vancouver Island,Spring,9.9,68.9,52.4,9.7,139,1.1433,Low
2004,5,Cariboo,Spring,11.5,62.8,38.5,7.5,76,1.4358157894736843,Moderate
2004,5,Kamloops,Spring,15.9,60.4,24.5,12.7,155,1.0917987012987014,Low
2004,5,Okanagan,Spring,13.2,41.2,27.4,9.1,45,7.396866666666666,Low
2004,5,Prince George,Spring,10.3,50.2,43.3,11.2,137,4.005404411764706,Moderate
2004,5,Vancouver Island,Spring,14.2,62.6,31.2,10.9,139,1.1433,Low
2004,6,Cariboo,Summer,15.1,44.9,51.2,7.6,372,97.42092741935484,Low
2004,6,Kamloops,Summer,21.3,42.6,26.2,11.9,710,22.798422913719943,Low
2004,6,Okanagan,Summer,20.2,39.9,33.1,8.4,405,1.885679012345679,Low
2004,6,Prince George,Summer,15.0,57.9,42.4,9.2,497,330.21589898989896,Low
2004,6,Vancouver Island,Summer,13.8,61.9,31.8,11.8,567,5.366477801268499,Low
2004,7,Cariboo,Summer,19.9,45.8,43.9,7.5,372,97.42092741935484,Low
2004,7,Kamloops,Summer,22.4,33.1,16.3,10.6,710,22.798422913719943,Low
2004,7,Okanagan,Summer,26.4,36.5,17.0,8.6,405,1.885679012345679,Low
2004,7,Prince George,Summer,16.5,42.5,54.1,9.0,497,330.21589898989896,Low
2004,7,Vancouver Island,Summer,18.5,66.0,16.9,12.2,567,5.366477801268499,Low
2004,8,Cariboo,Summer,20.5,48.7,65.6,9.4,372,97.42092741935484,Low
2004,8,Kamloops,Summer,26.3,28.5,22.7,7.4,710,22.798422913719943,Low
2004,8,Okanagan,Summer,25.7,33.4,12.2,7.4,405,1.885679012345679,Low
2004,8,Prince George,Summer,19.1,54.5,43.7,11.6,497,330.21589898989896,Low
2004,8,Vancouver Island,Summer,18.6,66.9,27.0,8.8,567,5.366477801268499,Low
2004,9,Cariboo,Fall,12.3,63.5,45.3,4.9,156,6.8153999999999995,Extreme
2004,9,Kamloops,Fall,15.6,52.4,21.3,7.6,419,2.496264705882353,Extreme
2004,9,Okanagan,Fall,16.9,41.3,20.2,9.0,119,1.4694117647058824,Extreme
2004,9,Prince George,Fall,12.7,64.3,45.8,7.1,166,10.395999999999999,Extreme
2004,9,Vancouver Island,Fall,17.6,64.9,50.4,9.6,40,1.29325,Low
2004,10,Cariboo,Fall,3.5,78.4,44.6,5.4,156,6.8153999999999995,Extreme
2004,10,Kamloops,Fall,7.5,64.7,22.2,9.1,419,2.496264705882353,Extreme
