Region,Year,Month,Season,total_burned_area,fire_count,average_fire_size,worst_case_fire_size,temperature_c,humidity_pct,rainfall_mm,wind_speed_kmh,risk_worst_case_fire_size
Vancouver Island,2020,12.0,Winter,0.001,1,0.001,0.001,3.7,83.5,114.1,11.2,Low
Vancouver Island,2021,1.0,Winter,0.0,1,0.0,0.0,2.3,77.5,156.5,12.1,Low
Vancouver Island,2021,2.0,Winter,0.019,2,0.0095,0.01,5.3,73.9,77.9,10.4,Low
Vancouver Island,2021,3.0,Spring,2.4779999999999998,3,0.826,2.46,8.5,76.7,64.8,9.8,Moderate
Vancouver Island,2021,4.0,Spring,32.592,19,1.7153684210526314,19.0,10.8,64.7,37.6,13.2,High
Vancouver Island,2021,5.0,Spring,37.104,28,1.3251428571428572,17.71,14.8,65.6,23.9,11.1,High
Vancouver Island,2021,6.0,Summer,57.105,41,1.3928048780487805,42.0,18.0,63.5,31.799999999999997,12.4,High
Vancouver Island,2021,7.0,Summer,6738.221,74,91.05704054054054,5097.9,21.4,66.2,20.1,12.3,Extreme
Vancouver Island,2021,8.0,Summer,232.005,36,6.444583333333333,105.0,19.8,64.0,20.0,10.4,High
Vancouver Island,2021,9.0,Fall,0.221,12,0.018416666666666668,0.1,13.6,70.4,46.29999999999999,6.900000000000001,Low
Vancouver Island,2021,11.0,Fall,1.018,3,0.3393333333333333,1.0,7.2,86.90000000000002,153.2,8.9,Low
Vancouver Island,2021,12.0,Winter,0.018,2,0.009,0.009,5.5,83.2,147.4,10.1,Low
Vancouver Island,2022,1.0,Winter,0.009,1,0.009,0.009,7.5,86.2,117.6,9.2,Low
Vancouver Island,2022,2.0,Winter,0.0,1,0.0,0.0,5.3,79.7,102.7,12.9,Low
Vancouver Island,2022,3.0,Spring,14.609,2,7.3045,14.6,8.8,76.9,76.7,9.4,Moderate
Vancouver Island,2022,4.0,Spring,30.049,3,10.016333333333334,30.0,10.1,72.2,41.6,12.0,High
Vancouver Island,2022,5.0,Spring,0.019,3,0.006333333333333333,0.009,13.1,60.9,31.2,11.300000000000002,Low
Vancouver Island,2022,6.0,Summer,258.408,11,23.491636363636363,258.0,15.4,64.1,20.3,12.2,Extreme
Vancouver Island,2022,7.0,Summer,93.79899999999999,25,3.7519599999999995,90.0,18.5,70.8,23.5,10.1,High
Vancouver Island,2022,8.0,Summer,20930.644,132,158.56548484848486,14970.0,17.7,57.7,15.5,7.8999999999999995,Extreme
Vancouver Island,2022,9.0,Fall,834.9989999999999,56,14.910696428571427,360.0,17.7,71.5,41.0,6.9,Extreme
Vancouver Island,2022,10.0,Fall,30.302,52,0.5827307692307693,14.0,9.1,81.5,93.0,10.3,Moderate
Vancouver Island,2022,11.0,Fall,34.302,14,2.450142857142857,15.0,8.0,88.5,122.3,11.1,Moderate
Vancouver Island,2022,12.0,Winter,0.009,1,0.009,0.009,4.9,93.6,84.1,12.2,Low
Vancouver Island,2023,3.0,Spring,0.026999999999999996,3,0.009,0.009,7.0,71.2,46.1,11.0,Low
Vancouver Island,2023,4.0,Spring,6.148000000000001,12,0.5123333333333334,2.5,11.5,62.9,50.79999999999999,11.9,Moderate
Vancouver Island,2023,5.0,Spring,305.13100000000003,36,8.475861111111112,230.0,12.5,64.4,42.2,11.9,Extreme
